city,city_ascii,country,iso2,state,county,display_ascii,nomin_id,osm_id,bb_min_lat,bb_max_lat,bb_min_lon,bb_max_lon,lon,lat,display_name,osm_type,place_class,place_type,importance,zoom,bb_center_lat,bb_center_lon
Church Point,Church Point,Canada,CA,Nova Scotia,,"Church Point, Nova Scotia, Canada",259304926,9280465,44.3087343,44.3530787,-66.1333584,-66.0728288,-66.1113132,44.340335,"Church Point, Clare Municipal District, Digby County, Nova Scotia, B0W 1M0, Canada",relation,boundary,administrative,0.86,13.988035211576623,44.3309065,-66.1030936
L’Île-Perrot,L'Ile-Perrot,Canada,CA,Quebec,,"L'Ile-Perrot, Quebec, Canada",259207111,7696235,45.3732085,45.4171996,-73.9931299,-73.934378,-73.952751,45.393146,"L'Île-Perrot, Vaudreuil-Soulanges, Montérégie, Québec, Canada",relation,boundary,administrative,0.7069709895291093,13.988733009623079,45.39520405,-73.96375395
Lacombe,Lacombe,Canada,CA,Alberta,,"Lacombe, Alberta, Canada",258606044,4166852,52.4486536,52.5034486,-113.781506,-113.6874437,-113.733215,52.4727515,"City of Lacombe, Alberta, Canada",relation,boundary,administrative,0.7873109778353566,13.970728345800701,52.4760511,-113.73447485
Campbellton,Campbellton,Canada,CA,New Brunswick,,"Campbellton, New Brunswick, Canada",259387800,9370397,47.9742464,48.0126007,-66.701152,-66.6450992,-66.6768648,48.0046993,"Campbellton, Restigouche County, New Brunswick / Nouveau-Brunswick, Canada",relation,boundary,administrative,0.8558380337749074,13.991778847681662,47.99342355,-66.67312559999999
Mont-Joli,Mont-Joli,Canada,CA,Quebec,,"Mont-Joli, Quebec, Canada",259088809,8232991,48.5487738,48.6218655,-68.2521129,-68.1249585,-68.183899,48.583875,"Mont-Joli, La Mitis, Bas-Saint-Laurent, Québec, Canada",relation,boundary,administrative,0.7370224098764857,13.941721506098943,48.58531965,-68.1885357
Northern Rockies,Northern Rockies,Canada,CA,British Columbia,,"Northern Rockies, British Columbia, Canada",258404639,2219984,58,60.0023,-127.8182831,-120.0012406,-122.8709621,59.124587,"Northern Rockies Regional Municipality, British Columbia, Canada",relation,boundary,administrative,0.96,5.0,59.001149999999996,-123.90976185
Penticton,Penticton,Canada,CA,British Columbia,,"Penticton, British Columbia, Canada",258723862,2229870,49.4224574,49.5559042,-119.6166799,-119.5146863,-119.594421,49.494891,"Penticton, Regional District of Okanagan-Similkameen, British Columbia, Canada",relation,boundary,administrative,0.878517890495788,13.911474449984201,49.4891808,-119.5656831
Shelburne,Shelburne,Canada,CA,Ontario,,"Shelburne, Ontario, Canada",259190291,7480369,44.0678828,44.0934714,-80.2234583,-80.1777553,-80.203431,44.078473,"Shelburne, Dufferin County, Central Ontario, Ontario, Canada",relation,boundary,administrative,0.6738921370257451,13.998648286967141,44.0806771,-80.2006068
Old Chelsea,Old Chelsea,Canada,CA,Quebec,,"Old Chelsea, Quebec, Canada",259212452,7045744,45.4587046,45.6158599,-75.9295007,-75.7436003,-75.808023,45.5031737,"Chelsea, Les Collines-de-l'Outaouais, Outaouais, Québec, Canada",relation,boundary,administrative,0.6552598151261018,13.802136079089887,45.53728225,-75.8365505
Wainwright,Wainwright,Canada,CA,Alberta,,"Wainwright, Alberta, Canada",222330,51971102,52.7974281,52.8774281,-110.9012063,-110.8212063,-110.8612063,52.8374281,"Wainwright, Town of Wainwright, Alberta, T9W 1C5, Canada",node,place,town,0.6300000000000001,13.96199882697947,52.8374281,-110.86120629999999
Cambridge,Cambridge,Canada,CA,Ontario,,"Cambridge, Ontario, Canada",258480038,2062152,43.3323902,43.4723418,-80.413078,-80.2514908,-80.3123023,43.3600536,"Cambridge, Region of Waterloo, Southwestern Ontario, Ontario, Canada",relation,boundary,administrative,0.7782581475497011,13.848387167836947,43.402366,-80.33228439999999
Hampstead,Hampstead,Canada,CA,Quebec,,"Hampstead, Quebec, Canada",258412417,197569,45.473902,45.4889462,-73.656017,-73.6295806,-73.6469908,45.4811545,"Hampstead, Agglomération de Montréal, Montréal (06), Québec, Canada",relation,boundary,administrative,0.6314470029359036,14.603200787895332,45.4814241,-73.64279880000001
Saint-Amable,Saint-Amable,Canada,CA,Quebec,,"Saint-Amable, Quebec, Canada",259297019,7903244,45.6175187,45.6956958,-73.3451344,-73.2582646,-73.295631,45.652688,"Saint-Amable, Marguerite-D'Youville, Montérégie, Québec, J0L 1N0, Canada",relation,boundary,administrative,0.7382772088039609,13.959257546656843,45.65660725,-73.30169950000001
Martensville,Martensville,Canada,CA,Saskatchewan,,"Martensville, Saskatchewan, Canada",258722682,4249498,52.2676946,52.3112474,-106.693851,-106.6202504,-106.66399478157908,52.291136550000004,"Martensville, Saskatchewan, Canada",relation,boundary,administrative,0.78,13.984382100162932,52.289471,-106.6570507
Chilliwack,Chilliwack,Canada,CA,British Columbia,,"Chilliwack, British Columbia, Canada",258348222,2221183,49.0457035,49.2256076,-122.1261538,-121.7779185,-121.9514307,49.157677,"Chilliwack, Fraser Valley Regional District, British Columbia, Canada",relation,boundary,administrative,0.8720323156470559,13.567871229104076,49.135655549999996,-121.95203615
Salmon Arm,Salmon Arm,Canada,CA,British Columbia,,"Salmon Arm, British Columbia, Canada",258642677,2221843,50.6343159,50.7712104,-119.389036,-119.1813815,-119.2790529,50.7005059,"Salmon Arm, Columbia-Shuswap Regional District, British Columbia, Canada",relation,boundary,administrative,0.930936575262058,13.807660793591984,50.702763149999996,-119.28520875000001
Clarington,Clarington,Canada,CA,Ontario,,"Clarington, Ontario, Canada",258369954,2408839,43.8462309,44.0987737,-78.8720279,-78.4319496,-78.65135738273909,43.96868585,"Clarington, Durham Region, Golden Horseshoe, Ontario, Canada",relation,boundary,administrative,0.6748154861214032,13.228111897816511,43.9725023,-78.65198875
Rawdon,Rawdon,Canada,CA,Quebec,,"Rawdon, Quebec, Canada",259242398,7707059,45.9770154,46.1450086,-73.8819052,-73.6102337,-73.7107666,46.0454129,"Rawdon, Matawinie, Lanaudière, Québec, Canada",relation,boundary,administrative,0.6577440768379155,13.687057577228654,46.061012,-73.74606945
L’Assomption,L'Assomption,Canada,CA,Quebec,,"L'Assomption, Quebec, Canada",259182225,7706379,45.774051,45.9435355,-73.4956843,-73.3450165,-73.4222086,45.8307051,"L'Assomption, L'Assomption (MRC), Lanaudière, Québec, Canada",relation,boundary,administrative,0.7305354953257555,13.82791689034453,45.858793250000005,-73.42035039999999
Sidney,Sidney,Canada,CA,British Columbia,,"Sidney, British Columbia, Canada",258349172,2221060,48.6340784,48.672175,-123.4178094,-123.3881501,-123.3983246,48.6505788,"Sidney, Capital Regional District, British Columbia, Canada",relation,boundary,administrative,0.8360865819376757,13.998925458724628,48.6531267,-123.40297975
Fort Saskatchewan,Fort Saskatchewan,Canada,CA,Alberta,,"Fort Saskatchewan, Alberta, Canada",258542962,3769020,53.6575115,53.7742587,-113.2942696,-113.1241398,-113.2148942,53.7128571,"Fort Saskatchewan, Alberta, Canada",relation,boundary,administrative,0.8895916368210682,13.867671465909998,53.715885099999994,-113.2092047
Edmonton,Edmonton,Canada,CA,Alberta,,"Edmonton, Alberta, Canada",258535977,2564500,53.3372558,53.7162646,-113.7138411,-113.2714783,-113.507996,53.535411,"Edmonton, Edmonton (city), Alberta, Canada",relation,boundary,administrative,0.9608839447495603,12.832079632317457,53.5267602,-113.49265969999999
Dollard-des-Ormeaux,Dollard-des-Ormeaux,Canada,CA,Quebec,,"Dollard-des-Ormeaux, Quebec, Canada",258392391,197601,45.4628907,45.5061637,-73.8572954,-73.7683493,-73.8064547,45.48423,"Dollard-Des-Ormeaux, Agglomération de Montréal, Montréal (06), Québec, Canada",relation,boundary,administrative,0.8355563570217563,13.979873530647673,45.4845272,-73.81282235
Grande Prairie,Grande Prairie,Canada,CA,Alberta,,"Grande Prairie, Alberta, Canada",258715415,4169208,55.11247,55.2361839,-118.961756,-118.6795528,-118.7949873,55.17108,"City of Grande Prairie, Grande Prairie (city), Alberta, Canada",relation,boundary,administrative,0.9102470486580994,13.762216517816825,55.17432695,-118.8206544
Westmount,Westmount,Canada,CA,Quebec,,"Westmount, Quebec, Canada",258183451,197561,45.4741028,45.4952608,-73.6184918,-73.5806528,-73.5963951,45.4857329,"Westmount, Agglomération de Montréal, Montréal (06), Québec, Canada",relation,boundary,administrative,0.6611484119678925,14.183367977784245,45.4846818,-73.5995723
Lorraine,Lorraine,Canada,CA,Quebec,,"Lorraine, Quebec, Canada",259027264,7703990,45.6490697,45.6839567,-73.8078104,-73.7627836,-73.7887505,45.6704733,"Lorraine, Thérèse-De Blainville, Laurentides, Québec, J6Z 3T7, Canada",relation,boundary,administrative,0.6290701377223524,13.995835921215614,45.6665132,-73.785297
Blainville,Blainville,Canada,CA,Quebec,,"Blainville, Quebec, Canada",259207532,7703991,45.6428786,45.7247461,-73.9254873,-73.789014,-73.87619,45.67932,"Blainville, Thérèse-De Blainville, Laurentides, Québec, Canada",relation,boundary,administrative,0.6504848257450377,13.928557073803137,45.68381235,-73.85725065
Kitimat,Kitimat,Canada,CA,British Columbia,,"Kitimat, British Columbia, Canada",258357356,2236318,53.7985816,54.1066736,-128.9081662,-128.5365189,-128.6540519,54.0535577,"Kitimat, Regional District of Kitimat-Stikine, British Columbia, Canada",relation,boundary,administrative,0.799469387767602,13.204548209449571,53.9526276,-128.72234255
Port Alberni,Port Alberni,Canada,CA,British Columbia,,"Port Alberni, British Columbia, Canada",307729704,2221211,49.2111485,49.2751772,-124.8531484,-124.7614825,-124.8056517,49.2343668,"Port Alberni, Alberni-Clayoquot Regional District, British Columbia, Canada",relation,boundary,administrative,0.9525718562859093,13.965717719831463,49.243162850000004,-124.80731545
Castlegar,Castlegar,Canada,CA,British Columbia,,"Castlegar, British Columbia, Canada",258618080,2221417,49.237523,49.3421033,-117.7843324,-117.6100248,-117.663574,49.316171,"Castlegar, Regional District of Central Kootenay, British Columbia, Canada",relation,boundary,administrative,0.8540868447864662,13.879113896963055,49.28981315,-117.6971786
Princeville,Princeville,Canada,CA,Quebec,,"Princeville, Quebec, Canada",259068096,8055277,46.094391,46.2988848,-71.9859571,-71.798892,-71.8751852,46.1722898,"Princeville, L'Érable, Centre-du-Québec, Québec, Canada",relation,boundary,administrative,0.6195694614596989,13.738805292518816,46.1966379,-71.89242454999999
